scenario,time_h,rainfall_mm_h,fs,wetness_index,suction_kpa,pore_pressure_kpa,crack_water_head_m
Cracked slope,72.5,0.0,1.4073462476227594,13.83100943273209,5.299988636740518,2.201363967724434,0.5186628537274534
Cracked slope,72.75,0.0,1.4102083045605385,13.715751020792656,5.379999440065705,2.160519267993397,0.5143406632797245
Cracked slope,73.0,0.0,1.413064744548114,13.601453095619384,5.460536256276263,2.120014940760119,0.510054491085727
Cracked slope,73.25,0.0,1.4159157532984552,13.48810765315589,5.541592464333528,2.0798481495871184,0.5058040369933459
Cracked slope,73.5,0.0,1.418761512518688,13.375706756046258,5.623161355445167,2.040016081673892,0.5015890033517346
Cracked slope,73.75,0.0,1.4216021998990938,13.264242533079205,5.705236135894475,2.000515947659943,0.49740909499047015
Cracked slope,74.0,0.0,1.4244379891039012,13.153707178636878,5.787809929875829,1.9613449814294437,0.4932640191988829
Cracked slope,74.25,0.0,1.4272690497638614,13.044092952148238,5.870875782334492,1.922500439917532,0.48915348570555894
Cracked slope,74.5,0.0,1.4300955474705852,12.935392177547003,5.954426661808934,1.883979602918219,0.48507720665801257
Cracked slope,74.75,0.0,1.432917643772634,12.827597242734111,6.038455463273909,1.8457797728939005,0.4810348966025291
Cracked slope,75.0,0.0,1.4357354961733384,12.72070059904466,6.122955010982556,1.8078982747864512,0.4770262724641748
Cracked slope,75.25,0.0,1.4385492581303347,12.614694760719289,6.207918061305826,1.7703324558298976,0.47305105352697335
Cracked slope,75.5,0.0,1.4413590790567956,12.509572304379962,6.293337305567558,1.7330796853646486,0.4691089614142485
Cracked slope,75.75,0.0,1.4441651043243384,12.405325868510129,6.379205372873614,1.6961373546532768,0.4651997200691298
Cracked slope,76.0,0.0,1.446967475267591,12.301948152939211,6.465514832933451,1.6595028766978328,0.46132305573522037
Cracked slope,76.25,0.0,1.4497663291903908,12.199431918331385,6.552258198872605,1.6231736860586845,0.45747869693742693
Cracked slope,76.5,0.0,1.452561799373603,12.097769985678623,6.6394279300345955,1.587147238674862,0.4536663744629484
